Наименование;Кол-во;Розница;от 10шт; от 100шт ; от 1000шт ;Размер;Примечание;Примечание
0,01mkF 2000V Y5P 10%;496;6;5;4;0;;;
1000pF 2000V Y5P 10%;647;6;5;2,5;0;;;
1500pF 2000V Y5P 10%;841;6;5;2,5;0;;;
2200pF 2000V Y5P 10%;917;6;5;2,5;0;;(К15-5);Ether
3300pF 2000V Y5P 10%;410;6;5;2,5;0;;;
4700pF 2000V Y5P 10%;997;6;5;3;0;;;
0,022F 5,5V ионистор (Panasonic EECS0HD223V);2917;15;12;10;8;;;
0,33F x 5,5V (ионистор);2;80;0;0;0;;(5R5D10F33V);вертикальный
1,0F x 5,5V (ионистор);12;150;125;0;0;;;
1,8F x 5,5V (ионистор);2;150;125;0;0;;;
100F x 2,7V (EDLC);3;520;450;0;0;22x45mm;;
2,0F x 5,5V (ионистор) 5R5D20F200H;9;150;130;0;0;;;
0,15mkF  Y5V;843;8;6;4;3;;Y5V;
0,1mkF  Y5V;657;8;6;4;3;;Y5V;
0,22mkF  Y5V;654;8;6;4;3;;Y5V;
0,33mkF  Y5V;1035;8;6;4;3;;Y5V;
0,47mkF  Y5V;1727;8;6;4;3;;Y5V;
0,68mkF  Y5V;1269;8;6;4;3;;Y5V;  +80-20%
1,0mkF  Y5V;818;10;8;5;4;;Y5V;  +80-20%
1,0pF  NPO;823;6;5;3;2;;NPO;5%
1,2pF  NPO;770;6;5;3;2;;NPO;5%
1,5mkF  Y5V;814;10;8;5;4;;Y5V;
1,5pF  NPO;1509;6;5;3;2;;NPO;5%
1000pF  (1n0)  X7R;3601;6;5;3;2;;X7R;10%
100pF  NPO;1218;6;5;3;2;;NPO;5%
10mkF Y5V;136;15;12;8;0;;;
10nF (0,01mkF)  X7R;729;6;5;3;2;;Y5V;
10pF  NPO;829;6;5;3;2;;NPO;5%
1100pF  (1n1)  X7R;1551;6;5;3;2;;X7R;10%
1200pF  (1n2)  X7R;1154;6;5;3;2;;X7R;10%
120pF  NPO;2633;6;5;3;2;;NPO;5%
12pF  NPO;1429;6;5;3;2;;NPO;5%
1500pF  (1n5)  X7R;1407;6;5;3;2;;X7R;10%
150pF  NPO;1371;6;5;3;2;;NPO;5%
15nF (0,015mkF)  Y5V;2130;6;5;3;2;;Y5V;10%
15pF  NPO;1097;6;5;3;2;;NPO;5%
16pF  NPO;721;6;5;3;2;;NPO;5%
1800pF  (1n8)  X7R;639;6;5;3;2;;X7R;10%
180pF  NPO;1006;6;5;3;2;;NPO;5%
18pF  NPO;1094;6;5;3;2;;NPO;5%
2,0pF  NPO;1026;6;5;3;2;;NPO;5%
2,2mkF  Y5V;286;10;8;6;4;;Y5V;
2,2pF  NPO;701;6;5;3;2;;NPO;5%
2000pF  (2n0)  X7R;785;6;5;3;2;;X7R;10%
200pF  NPO;1628;6;5;3;2;;NPO;5%
20pF  NPO;1522;6;5;3;2;;NPO;5%
2200pF  (2n2)  X7R;1029;6;5;3;2;;X7R;10%
220pF  NPO;331;6;5;3;2;;NPO;5%
22nF (0,022mkF)  Y5V;2575;6;5;3;2;;Y5V;
22pF  NPO;1091;6;5;3;2;;NPO;5%
2400pF  (2n4)  X7R;1760;6;5;3;2;;X7R;10%
240pF  NPO;890;6;5;3;2;;NPO;5%
24pF  NPO;667;6;5;3;2;;NPO;5%
2700pF  (2n7)  X7R;1375;6;5;3;2;;X7R;10%
270pF  NPO;1544;6;5;3;2;;NPO;5%
27nF (0,027mkF)  Y5V;1158;6;5;3;2;;Y5V;
27pF  NPO;3459;6;5;3;2;;NPO;5%
3,3pF  NPO;745;6;5;3;2;;NPO;5%
3,9pF  NPO;1356;6;5;3;2;;NPO;5%
3000pF  (3n0)  X7R;1921;6;5;3;2;;X7R;10%
300pF  NPO;376;6;5;3;2;;NPO;5%
30pF NP0;5828;6;5;3;2;;К10-17Б-М47-10%;5%
3300pF  (3n3)  X7R;1040;6;5;3;2;;X7R;10%
330pF  NPO;1148;6;5;3;2;;NPO;5%
33nF (0,033mkF)  Y5V;1029;6;5;3;2;;Y5V;
33pF  NPO;1017;6;5;3;2;;NPO;5%
3600pF  (3n6)  X7R;1094;6;5;3;2;;X7R;10%
360pF  NPO;844;6;5;3;2;;NPO;5%
36pF  NPO;1718;6;5;3;2;;NPO;5%
3900pF  (3n9)  X7R;956;6;5;3;2;;X7R;10%
390pF  NPO;476;6;5;3;2;;NPO;5%
39pF  NPO;1644;6;5;3;2;;NPO;5%
4,7pF  NPO;1189;6;5;3;2;;NPO;5%
4300pF  (4n3)  X7R;1631;6;5;3;2;;X7R;10%
430pF  NPO;1824;6;5;3;2;;NPO;5%
43pF  NP0;2127;6;5;3;2;;NP0;5%
4700pF  (4n7)  X7R;646;6;5;3;2;;X7R;10%
470pF  NP0;1475;6;5;3;2;;NP0;5%
47nF (0,047mkF)  Y5V;2846;6;5;3;2;;Y5V;
47pF  NPO;1161;6;5;3;2;;NPO;5%
5,6pF  NPO;824;6;5;3;2;;NPO;5%
5100pF  (5n1)  X7R;2165;6;5;3;2;;X7R;10%
510pF  NPO;948;6;5;3;2;;NPO;5%
51pF  NPO;1542;6;5;3;2;;NPO;5%
5600pF  (5n6)  X7R;965;6;5;3;2;;X7R;10%
560pF  NPO;938;6;5;3;2;;NPO;5%
56pF  NPO;512;6;5;3;2;;NPO;5%
6,8pF  NPO;977;6;5;3;2;;NPO;5%
6200pF  (6n2)  X7R;1330;6;5;3;2;;X7R;10%
620pF  NPO;1273;6;5;3;2;;NPO;5%
62pF  NPO;2042;6;5;3;2;;NPO;5%
6800pF  (6n8)  X7R;1219;6;5;3;2;;X7R;10%
680pF  NPO;1255;6;5;3;2;;NPO;5%
68nF (0,068mkF)  Y5V;1555;6;5;3;2;;Y5V;  отечеств-2500шт
68pF  NPO;1892;6;5;3;2;;NPO;5%
7,5pF  NPO;1244;6;5;3;2;;NPO;5%
7500pF  (7n5)  X7R;875;6;5;3;2;;X7R;10%
750pF  NP0;458;6;5;3;2;;NP0;5%
75pF  NPO;924;6;5;3;2;;NPO;5%
8,2pF  NPO;1052;6;5;3;2;;NPO;5%
8200pF  (8n2)  X7R;1148;6;5;3;2;;X7R;10%
820pF  NPO;847;6;5;3;2;;NP0;5%
82pF  NPO;595;6;5;3;2;;NP0;5%
9100pF  (9n1)  X7R;1259;6;5;3;2;;X7R;10%
910pF  NP0;685;6;5;3;2;;NP0;5%
91pF  NPO;1005;6;5;3;2;;NPO;5%
КТ-1 М47 2,7пФ;180;5;4;3;0;;;
КТ-2 М750 15пФ 10%  500В;4931;10;8;5;3;;;
КТ-2 М750 27пФ 500В;1840;10;8;5;3;;;
КТ-2 М750 300пФ 5% (500В);40;10;8;0;0;;;
КТ-2 М750 33пФ 10%  500В;825;10;8;5;0;;;
КТ-2 М750 6,8пФ 10% 500В;460;10;8;5;0;;;
КТ3 М47 15пФ 5%;33;10;8;0;0;;;
0603 0,033mkF 50V (Y5V) Murata (GRM188R71H333KA);198980;4;3;1;0,1;0603;(GRM188R71H333KA);Y5V
0805 0,15mkF (X7R);2168;3;2;1,5;1;0805;;
0805 0,1mkF 50V (X7R);7582;3;2;1,5;1,1;0805;;  +80/-20%
0805 0,22mkF 50V (X7R);2906;3;2;1;0,8;0805;;
0805 0,33mkF 25(50)V (Y5V);1519;3;2;1,5;1,1;0805;;Samsung
0805 0,47mkF 50V (Y5V);402;3;2;1,5;0;0805;;
0805 0,68mkF (Y5V);2270;3;2;1,5;1;0805;;
0805 1,0mkF (Y5V) 50V;1670;3;2;1,5;1;;;
0805 1,0mkF 10% (X7R) 16V;102;4;3;1,5;0,8;;;
0805 1,5mkF (Y5V);144;4;3;1,5;1;0805;;
0805 100pF NP0;266;2;1,5;0,5;0,35;0805;;
0805 10mkF 16V X5R 10%;1244;4;3;2;1,7;;;
0805 10nF (Y5V);2603;3;2;1;0,35;0805;;
0805 10pF NP0;2068;3;2;1;0,3;0805;;
0805 2,2pF (NPO);3283;3;2;1;0,3;0805;;
0805 2200pF (X7R);3363;3;2;1;0,6;0805;;
0805 22pF NP0;2371;3;2;1;0,6;;;
0805 330pF (X7R);368;3;2;1;0,3;0805;;
0805 4,7mkF 16V X7R (SMD);2827;4;3;1,5;1;0805;;
0805 47nF (Y5V);13703;3;2;1;0,25;0805;;
0805 560pF (X7R);3294;3;2;1;0,3;0805;;
1206 330pF 50V;2964;2;1;0,5;0,25;1206;;
1206 47pF 50V (NP0);500;3;2;0,5;0;1206;;
1000mkF 10V  компьют.+105C (Jamicon-WL);185;10;7;5;0;8x16mm;компьют.+105C;
1000mkF 16V компьют. +105C (Elzet CD285);38;12;10;6,5;0;(8x20mm);;
1000mkF 16V компьют.+105С (Jamicon-WL);200;12;10;8;0;10x16mm;компьют.+105C;
1000mkF 6,3V  компьют.+105C (Jamicon-WL);85;8;6;0;0;10x12,5mm;компьют.+105C;Jamicon WL
1000mkF 6,3V  компьют.+105C (Teapo-SC);360;8;6;5;0;8x15mm;компьют.+105C;
1200mkF 10V  компьют.+105C;65;6;5;4;0;8x20mm;компьют.+105C;Capxon, Jamicon  серия LZ (компьютерные),
1500mkF 10V  компьют.+105C (Jamicon-WL);79;12;10;7;0;8x20mm;компьют.+105C;Jamicon  серия  WL
1500mkF 16V  компьют.+105C (Jamicon-WL);12;12;10;8,5;0;10x20mm;компьют.+105C;Jamicon  серия  WL
1500mkF 6,3V  компьют.+105C (Jamicon-WL);107;10;8;6;0;8x20mm;компьют.+105C;Jamicon WL
2200mkF 10V  компьют.+105C (Jamicon-WL);130;15;12;10;0;10x24mm;компьют.+105C;Jamicon  серия  WL
2200mkF 16V компьют.+105С (Jamicon WL);130;15;12;10,5;0;10x26mm;компьют.+105C;Jamicon серия WL (компьютерные)
2200mkF 25V компьют.+105С (Jamicon-WL);148;35;30;25;0;16x25mm;;
2200mkF 6,3V  компьют.+105C (Jamicon-WL);231;10;8;6,5;0;10x21mm;компьют.+105C;Jamicon  серия  WL
2700mkF 10V  компьют.+105C (Jamicon-WL);96;20;18;15;0;10х25mm;компьют.+105C;
3300mkF 10V  компьют.+105C (Jamicon-WL);142;25;20;16;0;10х30mm;компьют.+105C;Jamicon   WL
3300mkF 16V компьют.+105С (Jamicon-WL);145;25;20;17;0;13х26mm;компьют.+105C;Jamicon WL
3300mkF 6,3V  компьют.+105C (Teapo-SC/Jamicon-WL);42;16;14;12;0;10х30mm;компьют.+105C;
4700mkF 6,3V  компьют.+105C (Jamicon-WL);79;45;40;35;0;13х25mm;компьют.+105C;Jamicon  серия  WL
470mkF 25V компьют. +105С (Jamicon-WL);447;12;10;7;0;8x16mm;;
470mkF 35V компьют. +105С (Jamicon-WL);110;18;15;12;0;8x20mm;;
680mkF 25V компьют.+105C (Jamicon-WL);120;12;10;8;0;10x20mm;компьют.+105C;Jamicon WL
680mkF 6,3V компьют.+105С (Jamicon-WL);490;8;6;5;0;;компьют.+105C;
820mkF 10V  компьют.+105C (Jamicon-WL);26;8;6;5;0;8x16mm;компьют.+105C;Jamicon  серия  WL
KL-MP1 3,8mkF 400VAC (UNITRA TELPOD) Poland;182;50;40;35;0;d35x105mm;;
БГТ 200В 0,5мкФ 5%;16;25;20;0;0;;;
К40У-9 200В 0,47мкФ 10%;39;120;100;0;0;;;
К40У-9 200В 3300пФ 10%;116;25;20;15;0;;;
К40У-9 200В 4700пФ 20%;45;25;20;15;0;;;
К40У-9 200В 6800пФ 10%;5;25;20;15;0;"""5""";;
К40У-9 400В 6800пФ 10%;54;30;25;0;0;;;
К40У-9 630В 0,15мкФ 10%;37;130;110;0;0;;;
К42-11 125В 10мкФ 10%;52;50;40;0;0;;;
К42У-2 160В 0,15мкФ 10%;310;15;12;10;0;;;
К42У-2 160В 0,1мкФ;420;15;12;8;0;;;
К42У-2 160В 0,22мкФ 10%;268;15;12;10;0;;;
К42У-2 160В 0,33мкФ 10%;226;15;12;10;0;;;
К42У-2 160В 0,47мкФ;148;15;12;10;0;;;
К42У-2 160В 1,0мкФ 10%;199;20;15;10;0;;;
К42У-2 250В 0,047мкФ 10%;14;15;12;10;0;;;
К42У-2 250В 0,15мкФ 10%;224;15;12;10;0;;;
К42У-2 250В 0,22мкФ 10%;257;15;12;10;0;;;
К42У-2 250В 0,47мкФ 10%;1320;20;15;12;0;;;
К42У-2 250В 1,0мкФ 10%;186;20;15;12;0;;;
К42У-2 500В 0,15мкФ 10%;251;30;25;20;0;;;
К42У-2 630В 0,047мкФ 10%;40;20;16;12;0;;;
К42У-2_1000В 0,01мкФ 10%;32;20;15;0;0;;;
К42У-2_1000В 0,15мкФ 10%;1;25;20;0;0;;;
К42У-2_1600В 0,047мкФ 10%;65;20;17;0;0;;;
КБГ-МН 600В 1мкФ 10%;68;120;100;85;0;(экспорт);;
КБГ-МП(-2В) 600В 1,0мкФ 1020%;29;85;70;0;0;;;
МБГН-1в 200В 9мкФ 5%;15;80;70;0;0;"""5""";;
МБГН-2в 200В 9мкФ 5%;25;80;70;0;0;;;
МБГО-2 160В 10мкФ 10%;39;80;60;0;0;;;
МБГП-1 400В 2,0мкФ 10%;16;40;30;0;0;;;
МБГП-2 250В 0,51мкФ 10%;2;30;0;0;0;;;
МБГЦ-2 200В 1мкФ 5%;165;30;25;20;0;"""5""";;
МБГЦ-2 400В 0,1мкФ 10%;278;30;25;20;0;"""5""";;
МБГЧ-1-2А 250В 2мкФ 10%;16;40;30;0;0;;;
МБГЧ-1В 250В 0,5мкФ 10%;15;25;20;0;0;;;
ОМБГ-1 160В 15мкФ 5%;34;60;50;0;0;"""5""";;
ОМБГ-1 160В 20мкФ 20% (МБГО-1);3;70;0;0;0;;;
ОМБГ-1 160В 30мкФ;1;100;80;0;0;;;
ОМБГ-2 400В 10мкФ 10%;248;150;125;110;0;;;
ОМБГ-3 160В 20мкФ;1;80;70;0;0;;;
1 mkF х 63V  mini  +105C;739;2;1,5;0,6;0,5;4x7mm;+105C;Jamicon  Jamicon-SS
22mkF 25V  mini  +105C (Capxon-SK);510;3;2;1,5;1,2;5x7mm;+105C;CapXon  S5025M0022ST,CapXon
22mkF х 10V  mini  +105C;55;2;1,5;0,6;0,5;5x7mm;+105C; (Teapo-SC)
3,3mkF х 50V  mini  +105C;272;2;1,5;0,6;0,45;4x7mm;+105C;  SS050M3R30ST4
4,7mkF х 50V  mini  +105C;48;2;1,5;0,7;0,5;4x7mm;+105C;CapXon  SK
47mkF х 10V  mini  +105C;37;2;1,5;0,6;0,5;6x7mm;+105C;Teapo, Capxon
Low-ESR 1000mkF 10V +105C (Hitano-EXR);950;10;8;5;0;10x12,5mm;EXR102M10BA;
Low-ESR 1000mkF 16V +105C (Hitano-EXR);108;12;10;8;0;10x21mm;EXR102M16BA;
Low-ESR 100mkF 25V +105C (Hitano-EXR);1975;5;4;3;2,5;6,3x11mm;EXR101M25B;
Low-ESR 150mkF 50V +105C (Hitano-EXR);463;10;8;6;0;(?x?mm);;
Low-ESR 220mkF 25V +105C (Hitano-EXR);950;8;6;4;0;8x12mm;EXR221M25B;
Low-ESR 2700mkF 25V +105C (Panasonic);889;20;15;12;0;12x26mm;;
Low-ESR 3300mkF 6,3V (CapXon KF);295;20;15;12,5;0;10х20мм;;
Low-ESR 330mkF 16V (Samwha WL) +105C;193;10;8;5;0;8x12mm;+105C;
"КПВ-100 (5..100пФ) ""5"" 90г";16;250;200;0;0;;;
КПК-2 (Б/У, разные: 25/150пФ,  150/250пФ);3;50;0;0;0;;;
КПК-2 10/100пФ (Б/У);5;50;0;0;0;;;
КПК-2 25/150пФ;1;100;0;0;0;;;
КПК-2 8/60пФ;1;75;0;0;0;;;
КПК-МТ 2/7пФ;48;25;20;18;0;;;
КПК-МТ 6/25пФ;93;25;20;18;0;;;
КПК-МТ 8/30пФ;92;25;20;18;0;;;
КТ4-23  0,4/4пФ;450;10;8;6;0;;;
КТ4-23  2/7пФ;448;10;8;6;0;;;
КТ4-23 4/15пФ;315;8;6;5;0;;;
КТ4-23 6/25пФ;500;12;10;8;0;;;
КТ4-23 7/30пФ;346;12;10;8;0;;;
КТ4-32  3/60пФ;97;20;15;12;0;;;
КТ4-32  8/80пФ;85;20;15;12;0;;;
CBB-21 1000pF 630V 10%;3982;5;4;3;2,5;(p:10mm);;
CBB-22 2,2mkF 630V 5%;1395;25;20;17;15;(p:20mm);;
CL-11 0,1mkF 400V 5%;178;4;3;2;0;;;
CL-11 4700pF 250V;292;3;2;0,5;0,35;;;
CL-11 6800pF 100V;828;3;2;0,8;0,6;(p:3,5mm);;
CL-21 0,015mkF 400V 10%;185;5;4;3;0;(p:7,5mm);;
CL-21 0,01mkF 250V 10%;169;5;4;3;0;(p: 10mm);;
CL-21 0,01mkF 400V 10%;619;5;4;3;2,5;;;
CL-21 0,01mkF 630V 10%;565;5;4;3;2,8;(p:10mm);CL-21  10%;
CL-21 0,022mkF 250V 10%;205;3;2;1,4;1,1;;TL  10%;Samwha
CL-21 0,022mkF 400V 10%;146;6;5;3,5;0;;CL-21  10%;
CL-21 0,022mkF 630V 10%;991;6;5;3,5;0;(p:10mm);CL-21  10%;
CL-21 0,047mkF 250V 10%;527;5;4;3;2,6;;CL-21  10%;  импорт
CL-21 0,047mkF 400V 10%;341;5;4;3;0;;CL-21  10%;
CL-21 0,047mkF 630V 10%;251;6;5;3,5;0;p:10mm;;
CL-21 0,15mkF 400V 10%;245;6;5;3,7;0;;;
CL-21 0,1mkF 250V 10%;242;5;4;3;2,8;p:10mm;CL-21  10%/TL;
CL-21 0,1mkF 400V 10%;796;6;5;3,7;3,5;p:10mm;CL-21  10%;
CL-21 0,1mkF 630V 10% (CBB-21);579;6;5;3,6;0;17x5,3x12mm p:15mm;CL-21  10%;
CL-21 0,22mkF 250V 10%;18;5;4;3;0;p: 10/15mm;CL-21;
CL-21 0,22mkF 400V 10%;13;5;4;3,5;0;p: 15mm;;
CL-21 0,22mkF 630V 10%;849;8;6;5;0;p:20mm;CL-21;Samwha  TL
CL-21 0,33mkF 250V 10%;675;8;6;5;0;p:15mm;;
CL-21 0,33mkF 400V 10%;130;7;5;4,5;0;p:15mm;;
CL-21 0,47mkF 400V 10%;86;8;6;5;0;p:20mm;;
CL-21 0,47mkF 630V 10%;490;12;10;7,5;0;22x9x16mm (20mm);CL-21  10%;
CL-21 0,47mkF 63V 10%;29;6;5;4;0;p:10mm;;
CL-21 1,0mkF 100V 10%;507;8;6;4,5;0;p:15mm;;
CL-21 1,0mkF 250V 10%;486;10;8;5,5;0;p:15mm;;
CL-21 1,0mkF 400V 10%;263;14;12;8;0;;CL-21  10%;
CL-21 1,0mkF 630V 10%;11;15;12;9;0;(p:27,5mm);;
CL-21 1,0mkF 63V 10%;472;6;5;4;0;;;
CL-21 1,5mkF 400V 10%;249;15;12;10;0;;;
CL-21 10mkF 250V 10%;246;50;40;30;0;;;
CL-21 2,2mkF 100V 10%;203;15;12;8;0;;;
CL-21 2,2mkF 250V 10%;213;12;10;7,5;0;;;
CL-21 2,2mkF 400V 10%;30;20;18;15;0;31,5x17x10mm;CL-21  10%;
CL-21 2,2mkF 630V 10%;171;25;20;17;0;32,5x19x10mm;CL-21  10%;
CL-21 3,3mkF 250V 10%;114;20;18;15;0;(22,5/31mm);;
CL-21 3,3mkF 400V 10%;71;25;20;20;0;(p:31mm);;
CL-21 3,3mkF 630V 10%;4;30;25;22;0;p:31mm;;
CL-21 4,7mkF 100V 10%;14;20;18;16;0;32x16x9mm;CL-21  10%;  импорт
CL-21 4,7mkF 250V 10%;91;25;20;18;0;;;
CL-21 6,8mkF 250V 10%;79;50;40;0;0;;;
CL-21X  2,2nF 63V 5% (mini);430;5;4;3;0;p:5mm;;
CL-21X  6,8nF 63V 5% (mini);488;5;4;3;0;p:5mm;;
CL-21X  8,2nF 63V 5% (mini);474;5;4;3;0;p:5mm;;
CL-21X 0,022mkF 63V (mini);22;5;4;3;0;;CL-21x mini;
CL-21X 0,027mkF 100V (mini);914;5;4;3;2,5;5% p:5mm;;
CL-21X 0,15mkF 63V (mini);684;5;4;3;2,5;;CL-21x mini;
CL-21X 0,1mkF 63V (mini);6;5;4;3;2,5;;CL-21x mini;
CL-21X-B 0,15mkF 63V 5% (mini-box);13;5;4;3;0;P:5mm;;
CL-21X-B 33nF 100V 10% (mini-box);277;6;5;3,5;0;p:5mm;;
CL-21X-B 6,8nF 100V 5% (mini-box);371;6;5;3,5;0;p:5mm;;
CL-23B  10nF 100V 5% (mini-box);1550;6;5;3,5;3,2;p:5mm;;
CL-23B  22nF 100V 5% (mini-box);2318;6;5;3,5;3,2;p:5mm;;
CL-23B  47nF 100V 5% (mini-box);1153;6;5;3,5;3,2;p:5mm;;
CL-23B 0,15mkF 100V 5% (mini-box) (Samwha-EB);605;6;5;3,5;0;p:5mm;;
CL-23B 0,22mkF 100V (mini-box);1885;6;5;3,5;3,2;p:5mm;;
CL-23B 0,33mkF 100V 10% (mini-box);635;6;5;4;3,6;p:5mm;;
CL-23B 0,47mkF 100V 10% (mini-box);740;8;6;5;4,5;p:5mm;;
К73-17 0,033mkF х 400в;691;4;3;2;1,5;;К73-17, 10%;
К73-17 0,068мкФ 630В 5%;217;5;4;3;0;;;
К73-17 0,15мкФ х 250в;1785;4;3;2,5;2;;К73-17пк,5,10%;
К73-17 0,1мкФ 250В;159;5;4;3;0;;;
К73-17 0,68мкФ х 250в;1779;5;4;3;2,5;;К73-17, 5%,10%;
К73-17в 0,047мкФ х 400В 10%;902;4;3;2;1,5;;;
К73-17в 1,5mkF x 160в 5%;118;12;10;8,5;0;;;
К73-24 4700пФ 100В;139;4;3;2;0;;;
К73-5 0,033mkF х 250в 20%;323;3;2;1;0,5;;К73-5, 20%;  красные
CBB81 0,1mkF 1000V 10%;150;50;45;0;0;;;
CBB81 1000pF 1000V 5%;423;6;5;4;0;p:15mm;;
CBB81 3300pF 1600V;1931;6;5;4;3;;;
CBB81 6800pF 2000V;498;10;8;5;0;;;
К78-2 1600В 4700пФ;42;10;8;0;0;;;
